ind	reg	sex	chrom	nonEnrCG	nonEnrnonCG	EnrCG	EnrnonCG
S_French-2	WestEurasia	F	6	123	1276	3	41
S_Georgian-1	WestEurasia	M	6	126	1229	6	63
S_Georgian-2	WestEurasia	M	6	132	1233	3	43
S_Greek-1	WestEurasia	M	6	116	1235	5	50
S_Greek-2	WestEurasia	M	6	94	1250	7	73
S_Han-1	EastAsia	F	6	120	1295	3	55
S_Han-2	EastAsia	M	6	132	1266	5	53
S_Hazara-1	SouthAsia	M	6	124	1345	2	36
S_Hazara-2	SouthAsia	M	6	103	1245	4	40
S_Hezhen-1	EastAsia	M	6	114	1217	3	29
S_Hezhen-2	EastAsia	F	6	98	1263	2	40
S_Hungarian-1	WestEurasia	F	6	117	1280	4	30
S_Hungarian-2	WestEurasia	M	6	106	1431	4	68
S_Icelandic-1	WestEurasia	F	6	132	1259	3	36
S_Icelandic-2	WestEurasia	F	6	120	1323	6	72
S_Iranian-1	WestEurasia	M	6	94	1208	3	49
S_Iranian-2	WestEurasia	M	6	115	1363	5	71
S_Iraqi_Jew-1	WestEurasia	F	6	113	1330	1	33
S_Iraqi_Jew-2	WestEurasia	M	6	119	1235	4	40
S_Irula-1	SouthAsia	M	6	118	1345	2	29
S_Irula-2	SouthAsia	M	6	110	1307	4	35
S_Itelman-1	CentralAsiaSiberia	F	6	125	1259	1	60
S_Japanese-1	EastAsia	M	6	124	1330	4	24
S_Japanese-2	EastAsia	F	6	97	1348	4	29
S_Japanese-3	EastAsia	M	6	112	1288	3	35
S_Jordanian-1	WestEurasia	M	6	118	1196	2	52
S_Jordanian-2	WestEurasia	M	6	90	1298	2	46
S_Jordanian-3	WestEurasia	M	6	124	1276	2	28
S_Kalash-1	SouthAsia	M	6	127	1293	4	37
S_Kalash-2	SouthAsia	F	6	119	1394	1	33
S_Kapu-1	SouthAsia	M	6	115	1314	3	25
S_Kapu-2	SouthAsia	M	6	103	1293	5	55
S_Karitiana-1	America	M	6	122	1309	7	78
S_Karitiana-2	America	F	6	134	1337	5	57
S_Khonda_Dora-1	SouthAsia	M	6	126	1348	7	110
S_Kinh-1	EastAsia	F	6	116	1275	3	63
S_Kinh-2	EastAsia	M	6	110	1323	2	51
S_Korean-1	EastAsia	M	6	105	1340	4	19
S_Korean-2	EastAsia	F	6	110	1187	6	50
S_Kusunda-1	SouthAsia	M	6	130	1298	4	55
S_Kusunda-2	SouthAsia	M	6	123	1396	4	96
S_Kyrgyz-1	CentralAsiaSiberia	M	6	140	1315	9	67
S_Kyrgyz-2	CentralAsiaSiberia	F	6	127	1279	1	24
S_Lahu-1	EastAsia	F	6	105	1172	6	79
S_Lahu-2	EastAsia	M	6	122	1258	4	22
S_Lezgin-1	WestEurasia	M	6	109	1190	5	72
S_Lezgin-2	WestEurasia	M	6	112	1278	2	38
S_Madiga-1	SouthAsia	M	6	106	1247	3	32
S_Madiga-2	SouthAsia	M	6	116	1258	4	41
S_Makrani-1	SouthAsia	M	6	99	1270	2	30
S_Makrani-2	SouthAsia	F	6	136	1233	1	45
S_Mala-2	SouthAsia	M	6	105	1230	4	68
S_Mala-3	SouthAsia	M	6	119	1291	7	66
S_Mansi-1	CentralAsiaSiberia	M	6	107	1285	3	56
S_Mansi-2	CentralAsiaSiberia	F	6	105	1194	6	85
S_Mayan-1	America	F	6	116	1267	3	58
S_Mayan-2	America	F	6	120	1150	4	27
S_Miao-1	EastAsia	M	6	124	1351	3	66
S_Miao-2	EastAsia	F	6	117	1329	4	51
S_Mixe-2	America	F	6	122	1291	4	72
S_Mixe-3	America	F	6	109	1276	2	40
S_Mixtec-1	America	M	6	114	1360	2	45
S_Mixtec-2	America	F	6	119	1350	3	97
S_Mongola-1	CentralAsiaSiberia	M	6	105	1289	6	77
S_Mongola-2	CentralAsiaSiberia	F	6	111	1292	3	45
S_Naxi-1	EastAsia	M	6	97	1341	5	30
S_Naxi-2	EastAsia	F	6	106	1329	2	33
S_Naxi-3	EastAsia	F	6	99	1321	6	48
S_North_Ossetian-1	WestEurasia	M	6	119	1338	6	44
S_North_Ossetian-2	WestEurasia	M	6	109	1236	1	31
S_Norwegian-1	WestEurasia	F	6	117	1308	3	57
S_Orcadian-1	WestEurasia	M	6	115	1342	3	29
S_Orcadian-2	WestEurasia	F	6	112	1220	1	23
S_Oroqen-1	EastAsia	M	6	114	1375	3	26
S_Oroqen-2	EastAsia	F	6	119	1287	2	24
S_Palestinian-1	WestEurasia	M	6	102	1251	5	35
S_Palestinian-2	WestEurasia	M	6	129	1329	5	57
S_Palestinian-3	WestEurasia	F	6	120	1213	4	63
S_Pathan-1	SouthAsia	M	6	122	1265	5	89
S_Pathan-2	SouthAsia	F	6	126	1336	8	54
S_Piapoco-1	America	F	6	116	1291	0	31
S_Piapoco-2	America	F	6	129	1333	7	69
S_Pima-1	America	M	6	139	1274	3	29
S_Pima-2	America	F	6	116	1402	5	61
S_Polish-1	WestEurasia	M	6	123	1292	4	29
S_Punjabi-1	SouthAsia	M	6	116	1323	0	38
S_Punjabi-2	SouthAsia	M	6	106	1180	2	30
S_Punjabi-3	SouthAsia	F	6	117	1322	1	40
S_Punjabi-4	SouthAsia	F	6	127	1324	7	76
S_Quechua-1	America	F	6	102	1237	3	19
S_Quechua-2	America	M	6	135	1254	3	31
S_Quechua-3	America	F	6	109	1305	4	57
S_Relli-1	SouthAsia	M	6	129	1324	2	31
S_Relli-2	SouthAsia	M	6	131	1338	3	36
S_Russian-1	WestEurasia	M	6	96	1299	4	36
S_Russian-2	WestEurasia	F	6	113	1220	2	45
S_Saami-1	WestEurasia	F	6	111	1311	4	86
S_Saami-2	WestEurasia	M	6	113	1212	1	33
S_Samaritan-1	WestEurasia	M	6	118	1245	8	57
S_Sardinian-1	WestEurasia	M	6	101	1307	8	79
S_Sardinian-2	WestEurasia	F	6	111	1295	5	67
S_She-1	EastAsia	F	6	124	1268	4	62
S_She-2	EastAsia	M	6	100	1227	3	61
S_Sindhi-1	SouthAsia	M	6	109	1287	3	33
S_Sindhi-2	SouthAsia	F	6	103	1320	1	35
S_Spanish-1	WestEurasia	M	6	132	1210	5	88
S_Spanish-2	WestEurasia	F	6	127	1260	4	30
S_Surui-1	America	F	6	130	1228	7	49
S_Surui-2	America	F	6	123	1221	8	21
S_Tajik-1	WestEurasia	M	6	98	1352	2	29
S_Tajik-2	WestEurasia	M	6	95	1314	3	33
S_Thai-1	EastAsia	M	6	117	1258	2	30
S_Thai-2	EastAsia	F	6	110	1233	2	29
S_Tlingit-1	CentralAsiaSiberia	M	6	135	1359	3	50
S_Tlingit-2	CentralAsiaSiberia	F	6	134	1272	5	59
S_Tu-1	EastAsia	M	6	113	1253	4	90
S_Tu-2	EastAsia	F	6	118	1258	3	19
S_Tubalar-1	CentralAsiaSiberia	F	6	98	1238	4	30
S_Tubalar-2	CentralAsiaSiberia	F	6	123	1336	3	66
S_Tujia-1	EastAsia	M	6	117	1302	4	57
S_Tujia-2	EastAsia	F	6	108	1232	9	39
S_Turkish-1	WestEurasia	M	6	122	1321	5	54
S_Turkish-2	WestEurasia	F	6	109	1306	3	36
S_Tuscan-1	WestEurasia	F	6	105	1330	3	33
S_Tuscan-2	WestEurasia	M	6	116	1204	3	32
S_Ulchi-1	CentralAsiaSiberia	F	6	110	1225	5	61
S_Ulchi-2	CentralAsiaSiberia	F	6	115	1215	1	28
S_Uygur-1	EastAsia	F	6	109	1320	1	50
S_Uygur-2	EastAsia	M	6	109	1251	3	35
S_Xibo-1	EastAsia	M	6	104	1213	5	48
S_Xibo-2	EastAsia	M	6	119	1187	3	26
S_Yadava-1	SouthAsia	M	6	113	1383	7	59
S_Yadava-2	SouthAsia	M	6	119	1344	1	28
S_Yakut-1	CentralAsiaSiberia	F	6	127	1284	2	57
S_Yakut-2	CentralAsiaSiberia	M	6	118	1302	1	79
S_Yemenite_Jew-1	WestEurasia	F	6	101	1232	1	33
S_Yemenite_Jew-2	WestEurasia	M	6	128	1366	5	102
S_Yi-1	EastAsia	M	6	114	1245	8	89
S_Yi-2	EastAsia	F	6	122	1278	2	28
S_Zapotec-1	America	M	6	123	1286	1	23
S_Zapotec-2	America	M	6	105	1247	7	38
S_Abkhasian-1	WestEurasia	M	7	132	1343	24	219
S_Abkhasian-2	WestEurasia	M	7	121	1342	20	187
S_Adygei-1	WestEurasia	M	7	141	1365	25	174
S_Adygei-2	WestEurasia	F	7	125	1310	29	165
S_Albanian-1	WestEurasia	F	7	136	1411	33	193
S_Aleut-1	CentralAsiaSiberia	M	7	127	1384	27	183
S_Aleut-2	CentralAsiaSiberia	F	7	136	1308	29	198
S_Altaian-1	CentralAsiaSiberia	M	7	141	1317	21	183
S_Ami-1	EastAsia	M	7	138	1330	27	181
S_Ami-2	EastAsia	M	7	140	1372	31	207
S_Armenian-1	WestEurasia	M	7	128	1360	20	178
S_Armenian-2	WestEurasia	M	7	106	1290	25	165
S_Atayal-1	EastAsia	M	7	155	1304	25	154
S_Balochi-1	SouthAsia	M	7	125	1339	25	191
S_Balochi-2	SouthAsia	M	7	133	1280	27	175
S_Basque-1	WestEurasia	M	7	121	1304	23	204
S_Basque-2	WestEurasia	F	7	135	1376	24	177
S_BedouinB-1	WestEurasia	M	7	129	1311	18	135
S_BedouinB-2	WestEurasia	F	7	130	1273	23	172
S_Bengali-1	SouthAsia	M	7	142	1318	15	176
S_Bengali-2	SouthAsia	F	7	148	1432	23	174
S_Bergamo-1	WestEurasia	M	7	130	1348	28	193
S_Bergamo-2	WestEurasia	F	7	113	1344	23	188
S_Brahmin-1	SouthAsia	M	7	126	1263	19	165
S_Brahmin-2	SouthAsia	M	7	155	1319	22	155
S_Brahui-1	SouthAsia	M	7	123	1290	22	184
S_Brahui-2	SouthAsia	M	7	122	1318	20	165
S_Bulgarian-1	WestEurasia	M	7	118	1334	23	190
S_Bulgarian-2	WestEurasia	M	7	113	1170	27	189
S_Burmese-1	EastAsia	M	7	152	1310	27	216
S_Burmese-2	EastAsia	M	7	150	1342	23	163
S_Burusho-1	SouthAsia	M	7	140	1470	24	192
S_Burusho-2	SouthAsia	F	7	142	1389	33	198
S_Cambodian-1	EastAsia	M	7	125	1334	31	185
S_Cambodian-2	EastAsia	F	7	119	1257	25	179
S_Chane-1	America	M	7	139	1349	24	186
S_Chechen-1	WestEurasia	M	7	121	1214	23	168
S_Chukchi-1	CentralAsiaSiberia	M	7	111	1348	24	165
S_Czech-2	WestEurasia	M	7	123	1400	28	223
S_Dai-1	EastAsia	F	7	122	1273	20	185
S_Dai-2	EastAsia	M	7	145	1363	27	201
S_Dai-3	EastAsia	F	7	141	1387	23	206
S_Daur-2	EastAsia	F	7	126	1389	26	209
S_Druze-1	WestEurasia	F	7	131	1389	31	164
S_Druze-2	WestEurasia	M	7	145	1249	23	200
S_English-1	WestEurasia	M	7	112	1325	28	169
S_English-2	WestEurasia	F	7	130	1299	28	217
S_Eskimo_Chaplin-1	CentralAsiaSiberia	M	7	123	1347	23	164
S_Eskimo_Naukan-1	CentralAsiaSiberia	F	7	135	1421	19	176
S_Eskimo_Naukan-2	CentralAsiaSiberia	F	7	158	1393	24	163
S_Eskimo_Sireniki-1	CentralAsiaSiberia	M	7	138	1308	20	181
S_Eskimo_Sireniki-2	CentralAsiaSiberia	F	7	154	1270	23	156
S_Estonian-1	WestEurasia	M	7	133	1407	17	176
S_Estonian-2	WestEurasia	M	7	138	1294	16	206
S_Even-1	CentralAsiaSiberia	F	7	143	1405	24	173
S_Even-2	CentralAsiaSiberia	M	7	157	1386	22	182
S_Even-3	CentralAsiaSiberia	F	7	139	1350	15	150
S_Finnish-1	WestEurasia	F	7	110	1265	21	168
S_Finnish-2	WestEurasia	M	7	115	1410	27	205
S_Finnish-3	WestEurasia	M	7	149	1449	20	181
S_French-1	WestEurasia	M	7	134	1337	26	211
S_French-2	WestEurasia	F	7	117	1296	23	194
S_Georgian-1	WestEurasia	M	7	166	1398	19	177
S_Georgian-2	WestEurasia	M	7	137	1409	24	196
S_Greek-1	WestEurasia	M	7	121	1319	25	197
S_Greek-2	WestEurasia	M	7	120	1342	22	192
S_Han-1	EastAsia	F	7	126	1343	29	198
S_Han-2	EastAsia	M	7	139	1315	26	180
S_Hazara-1	SouthAsia	M	7	150	1343	22	183
S_Hazara-2	SouthAsia	M	7	143	1350	30	188
S_Hezhen-1	EastAsia	M	7	136	1394	23	167
S_Hezhen-2	EastAsia	F	7	151	1378	21	167
S_Hungarian-1	WestEurasia	F	7	117	1355	14	220
S_Hungarian-2	WestEurasia	M	7	127	1333	17	162
S_Icelandic-1	WestEurasia	F	7	128	1366	15	172
S_Icelandic-2	WestEurasia	F	7	128	1421	19	185
S_Iranian-1	WestEurasia	M	7	112	1309	28	154
S_Iranian-2	WestEurasia	M	7	130	1339	30	215
S_Iraqi_Jew-1	WestEurasia	F	7	144	1455	35	205
S_Iraqi_Jew-2	WestEurasia	M	7	126	1301	27	212
S_Irula-1	SouthAsia	M	7	138	1355	38	196
S_Irula-2	SouthAsia	M	7	129	1414	26	176
S_Itelman-1	CentralAsiaSiberia	F	7	125	1343	15	155
S_Japanese-1	EastAsia	M	7	134	1362	28	190
S_Japanese-2	EastAsia	F	7	138	1340	25	215
S_Japanese-3	EastAsia	M	7	154	1327	16	176
S_Jordanian-1	WestEurasia	M	7	109	1273	20	137
S_Jordanian-2	WestEurasia	M	7	126	1342	19	171
S_Jordanian-3	WestEurasia	M	7	107	1356	25	191
S_Kalash-1	SouthAsia	M	7	107	1343	27	186
S_Kalash-2	SouthAsia	F	7	113	1304	13	196
S_Kapu-1	SouthAsia	M	7	125	1288	19	197
S_Kapu-2	SouthAsia	M	7	127	1269	23	192
S_Karitiana-1	America	M	7	121	1300	27	173
S_Karitiana-2	America	F	7	136	1304	18	180
S_Khonda_Dora-1	SouthAsia	M	7	149	1270	23	182
S_Kinh-1	EastAsia	F	7	117	1366	29	214
S_Kinh-2	EastAsia	M	7	124	1370	28	198
S_Korean-1	EastAsia	M	7	143	1258	24	200
S_Korean-2	EastAsia	F	7	136	1324	13	180
S_Kusunda-1	SouthAsia	M	7	132	1335	33	149
S_Kusunda-2	SouthAsia	M	7	126	1434	37	213
S_Kyrgyz-1	CentralAsiaSiberia	M	7	127	1298	20	175
S_Kyrgyz-2	CentralAsiaSiberia	F	7	144	1426	24	180
S_Lahu-1	EastAsia	F	7	150	1376	23	211
S_Lahu-2	EastAsia	M	7	131	1373	25	200
S_Lezgin-1	WestEurasia	M	7	127	1308	25	171
S_Lezgin-2	WestEurasia	M	7	140	1392	27	197
S_Madiga-1	SouthAsia	M	7	134	1386	21	172
S_Madiga-2	SouthAsia	M	7	145	1421	28	186
S_Makrani-1	SouthAsia	M	7	122	1337	38	198
S_Makrani-2	SouthAsia	F	7	123	1274	27	204
S_Mala-2	SouthAsia	M	7	136	1400	22	219
S_Mala-3	SouthAsia	M	7	122	1452	25	203
S_Mansi-1	CentralAsiaSiberia	M	7	128	1325	19	180
S_Mansi-2	CentralAsiaSiberia	F	7	149	1325	23	155
S_Mayan-1	America	F	7	140	1361	24	195
S_Mayan-2	America	F	7	159	1346	26	179
S_Miao-1	EastAsia	M	7	133	1305	27	205
S_Miao-2	EastAsia	F	7	126	1342	32	193
S_Mixe-2	America	F	7	142	1312	23	232
S_Mixe-3	America	F	7	151	1363	28	168
S_Mixtec-1	America	M	7	154	1310	26	178
S_Mixtec-2	America	F	7	152	1265	22	180
S_Mongola-1	CentralAsiaSiberia	M	7	139	1345	16	152
S_Mongola-2	CentralAsiaSiberia	F	7	136	1330	16	173
S_Naxi-1	EastAsia	M	7	122	1305	22	148
S_Naxi-2	EastAsia	F	7	139	1402	20	195
S_Naxi-3	EastAsia	F	7	162	1417	21	191
S_North_Ossetian-1	WestEurasia	M	7	135	1335	25	205
S_North_Ossetian-2	WestEurasia	M	7	142	1382	24	185
S_Norwegian-1	WestEurasia	F	7	128	1329	27	207
S_Orcadian-1	WestEurasia	M	7	114	1357	25	195
S_Orcadian-2	WestEurasia	F	7	133	1338	29	178
S_Oroqen-1	EastAsia	M	7	150	1312	28	187
S_Oroqen-2	EastAsia	F	7	144	1365	29	220
S_Palestinian-1	WestEurasia	M	7	119	1379	23	185
S_Palestinian-2	WestEurasia	M	7	151	1290	27	204
S_Palestinian-3	WestEurasia	F	7	121	1284	20	183
S_Pathan-1	SouthAsia	M	7	104	1362	29	207
S_Pathan-2	SouthAsia	F	7	120	1339	21	173
S_Piapoco-1	America	F	7	132	1288	16	184
S_Piapoco-2	America	F	7	146	1307	27	179
S_Pima-1	America	M	7	149	1284	22	201
S_Pima-2	America	F	7	148	1378	24	178
S_Polish-1	WestEurasia	M	7	121	1350	16	166
S_Punjabi-1	SouthAsia	M	7	125	1271	28	189
S_Punjabi-2	SouthAsia	M	7	128	1329	31	193
S_Punjabi-3	SouthAsia	F	7	134	1299	29	220
S_Punjabi-4	SouthAsia	F	7	131	1258	21	184
S_Quechua-1	America	F	7	136	1278	24	173
S_Quechua-2	America	M	7	135	1348	26	214
S_Quechua-3	America	F	7	142	1364	17	158
S_Relli-1	SouthAsia	M	7	141	1307	23	200
S_Relli-2	SouthAsia	M	7	134	1283	23	177
S_Russian-1	WestEurasia	M	7	116	1454	21	152
S_Russian-2	WestEurasia	F	7	125	1349	22	176
S_Saami-1	WestEurasia	F	7	123	1299	18	161
S_Saami-2	WestEurasia	M	7	133	1301	20	200
S_Samaritan-1	WestEurasia	M	7	108	1319	23	174
S_Sardinian-1	WestEurasia	M	7	146	1391	23	170
S_Sardinian-2	WestEurasia	F	7	143	1435	27	193
S_She-1	EastAsia	F	7	130	1313	21	181
S_She-2	EastAsia	M	7	152	1419	26	177
S_Sindhi-1	SouthAsia	M	7	145	1315	26	224
S_Sindhi-2	SouthAsia	F	7	139	1396	19	169
S_Spanish-1	WestEurasia	M	7	140	1454	34	193
S_Spanish-2	WestEurasia	F	7	108	1344	16	170
S_Surui-1	America	F	7	118	1310	24	205
S_Surui-2	America	F	7	110	1224	22	178
S_Tajik-1	WestEurasia	M	7	110	1253	22	162
S_Tajik-2	WestEurasia	M	7	146	1400	29	202
S_Thai-1	EastAsia	M	7	128	1335	24	180
S_Thai-2	EastAsia	F	7	129	1282	32	177
S_Tlingit-1	CentralAsiaSiberia	M	7	125	1257	23	158
S_Tlingit-2	CentralAsiaSiberia	F	7	131	1233	27	194
S_Tu-1	EastAsia	M	7	151	1383	28	185
S_Tu-2	EastAsia	F	7	132	1309	23	206
S_Tubalar-1	CentralAsiaSiberia	F	7	141	1327	23	187
S_Tubalar-2	CentralAsiaSiberia	F	7	158	1321	18	170
S_Tujia-1	EastAsia	M	7	158	1331	24	214
S_Tujia-2	EastAsia	F	7	144	1281	19	187
S_Turkish-1	WestEurasia	M	7	127	1321	25	162
S_Turkish-2	WestEurasia	F	7	122	1317	27	197
S_Tuscan-1	WestEurasia	F	7	130	1324	21	196
S_Tuscan-2	WestEurasia	M	7	117	1357	18	194
S_Ulchi-1	CentralAsiaSiberia	F	7	145	1339	24	209
S_Ulchi-2	CentralAsiaSiberia	F	7	132	1312	22	142
S_Uygur-1	EastAsia	F	7	112	1242	30	190
S_Uygur-2	EastAsia	M	7	133	1380	27	163
S_Xibo-1	EastAsia	M	7	128	1256	13	178
S_Xibo-2	EastAsia	M	7	136	1328	31	184
S_Yadava-1	SouthAsia	M	7	133	1386	23	172
S_Yadava-2	SouthAsia	M	7	128	1253	30	219
S_Yakut-1	CentralAsiaSiberia	F	7	147	1294	22	179
S_Yakut-2	CentralAsiaSiberia	M	7	144	1333	21	142
S_Yemenite_Jew-1	WestEurasia	F	7	136	1348	23	181
S_Yemenite_Jew-2	WestEurasia	M	7	144	1292	28	214
S_Yi-1	EastAsia	M	7	111	1277	26	190
S_Yi-2	EastAsia	F	7	139	1305	25	158
S_Zapotec-1	America	M	7	157	1320	21	183
S_Zapotec-2	America	M	7	128	1303	22	186
S_Abkhasian-1	WestEurasia	M	8	130	1633	19	149
S_Abkhasian-2	WestEurasia	M	8	144	1617	26	157
S_Adygei-1	WestEurasia	M	8	143	1700	39	192
S_Adygei-2	WestEurasia	F	8	154	1701	22	168
S_Albanian-1	WestEurasia	F	8	133	1670	25	156
S_Aleut-1	CentralAsiaSiberia	M	8	140	1729	26	178
S_Aleut-2	CentralAsiaSiberia	F	8	135	1743	27	134
S_Altaian-1	CentralAsiaSiberia	M	8	137	1742	28	159
S_Ami-1	EastAsia	M	8	140	1760	27	173
S_Ami-2	EastAsia	M	8	136	1771	33	190
S_Armenian-1	WestEurasia	M	8	152	1724	26	164
S_Armenian-2	WestEurasia	M	8	151	1842	41	195
S_Atayal-1	EastAsia	M	8	139	1779	22	158
S_Balochi-1	SouthAsia	M	8	165	1871	29	181
S_Balochi-2	SouthAsia	M	8	143	1739	37	151
S_Basque-1	WestEurasia	M	8	135	1629	32	174
S_Basque-2	WestEurasia	F	8	149	1614	19	160
S_BedouinB-1	WestEurasia	M	8	168	1701	24	151
S_BedouinB-2	WestEurasia	F	8	145	1610	28	163
S_Bengali-1	SouthAsia	M	8	134	1601	32	148
S_Bengali-2	SouthAsia	F	8	136	1725	24	153
S_Bergamo-1	WestEurasia	M	8	141	1638	31	181
S_Bergamo-2	WestEurasia	F	8	141	1700	20	145
S_Brahmin-1	SouthAsia	M	8	182	1697	32	175
S_Brahmin-2	SouthAsia	M	8	161	1751	25	179
S_Brahui-1	SouthAsia	M	8	148	1664	33	173
S_Brahui-2	SouthAsia	M	8	132	1736	32	161
S_Bulgarian-1	WestEurasia	M	8	152	1641	30	174
S_Bulgarian-2	WestEurasia	M	8	128	1578	15	168
S_Burmese-1	EastAsia	M	8	147	1673	37	194
S_Burmese-2	EastAsia	M	8	153	1781	28	181
S_Burusho-1	SouthAsia	M	8	148	1794	30	146
S_Burusho-2	SouthAsia	F	8	153	1626	28	162
S_Cambodian-1	EastAsia	M	8	176	1768	27	202
S_Cambodian-2	EastAsia	F	8	142	1659	32	163
S_Chane-1	America	M	8	148	1719	32	156
S_Chechen-1	WestEurasia	M	8	157	1698	24	160
S_Chukchi-1	CentralAsiaSiberia	M	8	153	1758	35	185
S_Czech-2	WestEurasia	M	8	145	1633	32	157
S_Dai-1	EastAsia	F	8	141	1672	32	141
S_Dai-2	EastAsia	M	8	149	1739	22	173
S_Dai-3	EastAsia	F	8	156	1728	28	151
S_Daur-2	EastAsia	F	8	131	1753	28	172
S_Druze-1	WestEurasia	F	8	143	1725	27	157
S_Druze-2	WestEurasia	M	8	138	1677	31	154
S_English-1	WestEurasia	M	8	133	1714	20	135
S_English-2	WestEurasia	F	8	167	1694	29	155
S_Eskimo_Chaplin-1	CentralAsiaSiberia	M	8	146	1655	24	170
S_Eskimo_Naukan-1	CentralAsiaSiberia	F	8	149	1760	25	159
S_Eskimo_Naukan-2	CentralAsiaSiberia	F	8	155	1714	23	158
S_Eskimo_Sireniki-1	CentralAsiaSiberia	M	8	148	1804	24	151
S_Eskimo_Sireniki-2	CentralAsiaSiberia	F	8	135	1719	27	147
S_Estonian-1	WestEurasia	M	8	162	1667	29	186
S_Estonian-2	WestEurasia	M	8	128	1713	30	162
S_Even-1	CentralAsiaSiberia	F	8	154	1667	31	152
S_Even-2	CentralAsiaSiberia	M	8	141	1720	28	171
S_Even-3	CentralAsiaSiberia	F	8	135	1719	25	185
S_Finnish-1	WestEurasia	F	8	159	1761	28	182
S_Finnish-2	WestEurasia	M	8	137	1717	41	249
S_Finnish-3	WestEurasia	M	8	140	1771	30	217
S_French-1	WestEurasia	M	8	171	1568	31	173
S_French-2	WestEurasia	F	8	142	1624	37	179
S_Georgian-1	WestEurasia	M	8	145	1618	26	155
S_Georgian-2	WestEurasia	M	8	118	1622	41	229
S_Greek-1	WestEurasia	M	8	142	1635	23	154
S_Greek-2	WestEurasia	M	8	145	1628	29	149
S_Han-1	EastAsia	F	8	133	1707	25	153
S_Han-2	EastAsia	M	8	153	1767	24	160
S_Hazara-1	SouthAsia	M	8	150	1748	29	138
S_Hazara-2	SouthAsia	M	8	123	1646	21	158
S_Hezhen-1	EastAsia	M	8	146	1781	24	156
S_Hezhen-2	EastAsia	F	8	140	1660	27	192
S_Hungarian-1	WestEurasia	F	8	140	1731	33	174
S_Hungarian-2	WestEurasia	M	8	138	1604	27	128
S_Icelandic-1	WestEurasia	F	8	127	1560	35	180
S_Icelandic-2	WestEurasia	F	8	165	1615	26	194
S_Iranian-1	WestEurasia	M	8	121	1684	26	162
S_Iranian-2	WestEurasia	M	8	146	1688	18	145
S_Iraqi_Jew-1	WestEurasia	F	8	155	1857	31	181
S_Iraqi_Jew-2	WestEurasia	M	8	135	1818	29	168
S_Irula-1	SouthAsia	M	8	178	1747	25	167
S_Irula-2	SouthAsia	M	8	128	1778	38	180
S_Itelman-1	CentralAsiaSiberia	F	8	144	1735	28	146
S_Japanese-1	EastAsia	M	8	155	1711	33	163
S_Japanese-2	EastAsia	F	8	143	1689	33	159
S_Japanese-3	EastAsia	M	8	151	1705	31	165
S_Jordanian-1	WestEurasia	M	8	138	1622	23	176
S_Jordanian-2	WestEurasia	M	8	166	1857	24	154
S_Jordanian-3	WestEurasia	M	8	147	1596	28	159
S_Kalash-1	SouthAsia	M	8	162	1747	37	166
S_Kalash-2	SouthAsia	F	8	151	1683	28	174
S_Kapu-1	SouthAsia	M	8	147	1783	28	168
S_Kapu-2	SouthAsia	M	8	149	1761	36	176
S_Karitiana-1	America	M	8	157	1736	37	163
S_Karitiana-2	America	F	8	160	1848	33	189
S_Khonda_Dora-1	SouthAsia	M	8	161	1653	29	168
S_Kinh-1	EastAsia	F	8	152	1829	24	156
S_Kinh-2	EastAsia	M	8	153	1647	31	154
S_Korean-1	EastAsia	M	8	145	1703	24	147
S_Korean-2	EastAsia	F	8	146	1720	26	200
S_Kusunda-1	SouthAsia	M	8	148	1690	29	201
S_Kusunda-2	SouthAsia	M	8	134	1718	28	194
S_Kyrgyz-1	CentralAsiaSiberia	M	8	152	1718	32	147
S_Kyrgyz-2	CentralAsiaSiberia	F	8	128	1628	37	138
S_Lahu-1	EastAsia	F	8	135	1676	22	153
S_Lahu-2	EastAsia	M	8	167	1807	35	149
S_Lezgin-1	WestEurasia	M	8	155	1585	24	134
S_Lezgin-2	WestEurasia	M	8	151	1679	30	143
S_Madiga-1	SouthAsia	M	8	149	1766	18	148
S_Madiga-2	SouthAsia	M	8	137	1762	33	189
S_Makrani-1	SouthAsia	M	8	140	1664	29	191
S_Makrani-2	SouthAsia	F	8	172	1732	23	151
S_Mala-2	SouthAsia	M	8	124	1745	27	186
S_Mala-3	SouthAsia	M	8	144	1787	23	193
S_Mansi-1	CentralAsiaSiberia	M	8	139	1765	37	200
S_Mansi-2	CentralAsiaSiberia	F	8	135	1714	38	171
S_Mayan-1	America	F	8	148	1645	34	142
S_Mayan-2	America	F	8	141	1676	24	163
S_Miao-1	EastAsia	M	8	144	1673	23	153
S_Miao-2	EastAsia	F	8	137	1737	27	153
S_Mixe-2	America	F	8	133	1678	35	132
S_Mixe-3	America	F	8	162	1819	28	164
S_Mixtec-1	America	M	8	131	1702	27	151
S_Mixtec-2	America	F	8	150	1694	37	136
S_Mongola-1	CentralAsiaSiberia	M	8	136	1699	28	173
S_Mongola-2	CentralAsiaSiberia	F	8	122	1808	25	151
S_Naxi-1	EastAsia	M	8	154	1895	26	164
S_Naxi-2	EastAsia	F	8	118	1604	30	175
S_Naxi-3	EastAsia	F	8	150	1725	36	152
S_North_Ossetian-1	WestEurasia	M	8	138	1620	29	203
S_North_Ossetian-2	WestEurasia	M	8	150	1756	20	194
S_Norwegian-1	WestEurasia	F	8	148	1729	27	152
S_Orcadian-1	WestEurasia	M	8	126	1761	45	176
S_Orcadian-2	WestEurasia	F	8	139	1650	30	156
